Slug,Title,Title Length,Title Compliant,Meta Description Length,Meta Description Compliant,Has Internal Links,Has Images,Images Optimized,Issues,Recommendations
aquarium-water-quality-problems-solutions,"Test Your Water",15,No,113,No,Yes,Yes,No,"Title length 15 (should be 50-60); Meta description length 113 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
backyard-bird-identification-guide,"Backyard Bird Identification Guide: Common Species",50,Yes,159,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-aquarium-thermometers-with-alarm,"Best Aquarium Thermometers with Alarm: 2024 Guide",49,No,165,No,Yes,Yes,Yes,"Title length 49 (should be 50-60); Meta description length 165 (should be 150-160)","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters"
best-bottom-feeders-for-medium-fish,"Best Bottom Feeders for Medium Fish: Complete Species Comparison Guide",70,No,150,Yes,Yes,Yes,Yes,"Title length 70 (should be 50-60)","Adjust title to 50-60 characters"
best-dog-breeds-for-apartments,"Best Dog Breeds for Apartments: Small Space Living",50,Yes,159,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-dog-breeds-for-families,"Best Dog Breeds for Families: Complete Guide for Pet Owners",59,Yes,157,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-dog-breeds-for-first-time-owners,"Best Dog Breeds for First-Time Owners: Beginner Guide",53,Yes,158,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-full-spectrum-aquarium-lights,"Best Full Spectrum Aquarium Lights: Complete Guide 2024",55,Yes,159,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-quiet-filters-40-gallon-tank,"Best Quiet Filters for 40-Gallon Tanks: Expert Guide 2025",57,Yes,139,No,Yes,Yes,No,"Meta description length 139 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
bottom-feeder-community-tank,"Bottom Feeder Community Tank Setup: Complete Compatibility Guide",64,No,152,Yes,Yes,Yes,No,"Title length 64 (should be 50-60); Images may not be properly optimized","Adjust title to 50-60 characters; Ensure all images have alt text and proper dimensions"
cat-health-care-tips,"Cat Health Care Tips: Essential Guide for Cat Owners",52,Yes,147,No,Yes,Yes,No,"Meta description length 147 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
